"pca_id","pca_description","product_family","business_unit","technology_group"
"73-5114-01","PCA,SUB,WR15900 MENTOR BOM,RCVR,DGHTR CD,(ERM 578 DKX VER)","","",""
"73-5113-01","PCA,SUB,WR15900 MENTOR BOM,RCVR,DGHTR CD,(ERM 578 CKX VER)","","",""
"73-5108-01","PCA,SUB,WR15900,MENTOR BOM,MATRIX BCKPLN","","",""
"73-13575-01","PCA,MBRD,","","",""
"73-8663-0151","PCA,SUB,MCC-16-E1-1N","MGX","SMBU","MITG"
"73-10273-01","PCA,MBRD,MAKAHA PSYLOCKE - GIG","","",""
"73-4777-0151","PCA,SUB,RJ48-8T1-Y","MGX","SMBU","MITG"
"73-17944-01","PCA,MBRD,VIKING, PRISM, RSP5, PB-FREE","","",""
"73-15288-05","PCA,DBRD,CORTINA, SPINE, 16 SLOT FANTRAY W/CONTROLLER,HEAVENLY-16","N9500","INSBU","INSTG"
"73-15834-01","PCA,DBRD,HARPER LAKE V6 POWER,PB-FREE","IE2000","IOTBU","ENGTG"
"73-8049-01","PCA,Hercules-A,PC104,PWR","","",""
"73-4044084-01","PCA,MOD,GS7000 GAN LNCH AMP,4W SEG","ON38","CABU","SPVTG"
"73-15022-01","PCA,MDPLN,GILROY REV 06 FAB","UCSB","SAVBU","SAVTG"
"73-13957-01","PCA,MBRD,MCP FP-10G,Pb-free","","",""
"73-9475-01","PCA,AJAX,TEST CONNECTOR DAUGHTERCARD","","",""
"73-9030-01","PCA,CL-CONN-EXT,15310","15310","CORBU","CTG"
"73-8381-01","PCA,SUB,OC192_POS/RPR,FH,VPA","SPA","SSEBU","CTG"
"73-1669-03E1","PCA,SUB,SYNERGY 48P REPEATER","C5000","EBBU","ENGTG"
"73-9531-01","PCA,DBRD, Malabar Gigarray Tst Crd","","",""
"73-8361-0251","PCA, MCC-8-155","","",""
"73-3332-02","PCA,SUB,BP-TEST","","",""
"73-12036-01","PCA,OTHER,Apex-Vega,Carrier Card","","",""
"73-12531-02","PCA,EMBEDDED TEST CONTROLLER,MTP","","",""
"73-1788-02E1","PCA,SUB,CALAMARI,ETH,0M","","",""
"73-4519-01","PCA SUB, GALAXY2 VOICE LINECARD, CHOPIN","","",""
"73-16732-01","PCA,DBRD,I/O BOARD, N6K, NorCal-24Q, Hassium","N5000","DCSABU","SAVTG"
"73-16493-03","PCA,MBRD,TOR, MBRD, CALGARY","N9300","INSBU","INSTG"
"73-16445-01","PCA,OTHER,AURORA,802.15.4G 915MHZ WPAN MODULE","","",""
"73-16447-01","PCA,OTHER,BR-RE-INTFC,2 ANTENNAS OPTION,BISHOP ROCK,IOTBU","CGR1000","IOTBU","ENGTG"
"73-16448-01","PCA,OTHER,BR-RE-INTFC,1 ANTENNA OPTION,BISHOP ROCK,IOTBU","CGR1000","IOTBU","ENGTG"
"73-16449-01","PCA,OTHER,CYCLOPS,MCU MODULE","","",""
"73-16446-01","PCA,OTHER,BR-RE-INTFC,6 ANTENNAS OPTION,BISHOP ROCK,IOTBU","","",""
"73-16450-01","PCA,MBRD,14L,OSP,KENTON-RACKMOUNT,PB-FREE","ASAMID","NGFWBU","STG"
"73-16071-01","PCA,DBRD,VIKING,TOMAHAWK,RAMPAGE, 7-FAB, A99-48x10GE-SE","","",""
"73-16612-02","PCA,MBRD,SALINONCS-24, PB-FREE","","",""
"73-2387-06","PCA,SUB,FRSM-8T1-C","MGX","SMBU","MITG"
"73-2347-05","PCA,SUB,FRASM-8T1","","",""
"73-2468-02","PCA,SUB,RJ48-T3T1-LM","","",""
"73-2464-05","PCA,SUB,SRM-3T3","","",""
"73-2472-02","PCA,SUB,RJ48-E3E1-LM","","",""
"73-12032-02","PCA,MBRD,HQ RP BM, HFR","","",""
"73-2858-02","PCA,SUB,CIM OC48,SMF,IR,COUGAR","","",""
"73-2230-01E1","PCA,SUB,SIENA,BACKPLANE","","",""
"73-8948-03","PCA,OTHER,PRE3,RP","ESR","ERBU","CTG"
"73-14663-05","PCA,MBRD,N7K,SUPERVISOR 2,SILVERSTONE LITE","","",""
"73-9329-01","PCA,MBRD,F1,SSC-600,""HOCKENHEIM""","","",""
"73-15251-01","PCA,OTHER,FAN JUMP BOARD, BATTLESTAR, Pb-FREE","","",""
"73-214170-00R","PCA,SUB,MECH FTM","","",""
"73-3420-05","PCA,SUB,PA-ISA","7000CMN","SRGBU","ENGTG"
"73-14750-04","PCA,MBRD,MSC-400,LCR,HFR","CRS","CORBU","CTG"
"73-14777-01","PCA,DBRD,MCP-CC-2RU Fixed, PB-FREE","","",""
"73-14779-01","PCA,MDPLN,MCP-MP-2RU Fixed, PB-FREE","","",""
"73-1522-01","PCASUB,BACKPLANE,PSMTX","ERBUOLD","PABU","CTG"
"73-9774-02","PCA,MBRD,SINGLE PORT OC-12 ATM NATIVE LINE CARD,7300,MATAR","7304","SRGBU","ENGTG"
"73-16031-01","PCA,MBRD,Cranequin-6, APEX 6, Fabric","","",""
"73-16028-01","PCA,MBRD,Brabham-100, N7K, 6PT, 100G","","",""
"73-16032-01","PCA,MBRD,Cranequin-10, APEX 10, Fabric","","",""
"73-16029-01","PCA,MBRD,Brabham-CB-10, APEX, 48PT, 10G","","",""
"73-16030-01","PCA,MBRD,Brabham-CB-100, APEX, 12PT, 100G","","",""
"73-16027-01","PCA,MBRD,Brabham-10, N7K, 48PT, 10G","","",""
"73-8864-02","PCA,ALPHA,MeRPHY TEST BOARD","","",""
"73-4066090-01","PCA,MNBRD,DEV,E9KG9,XG1 V1,PUMA6/TSC188","","",""
"73-4037158C-01","PCA,POWER DISTR BOARD II DCM 1U COATED","DCM","ESBU","SPVTG"
"73-4035106-01","PCA,MSD1G,SDI SUB BD","ENC","ESBU","SPVTG"
"73-4030510-01","PCA,MIO1G MVP INPUT OUTPUT 1ST GEN","ENC","ESBU","SPVTG"
"73-3705-01","PCA,6150 OC3 SM PHI","","",""
"73-3718-02","PCA,SUB,CONSTELLATION+,FABRIC/BKPLN TESTER","","",""
"73-3704-01","PCADWG, CISCO606","","",""
"73-3701-01","PCA, STACKBONEII","","",""
"73-3693-01","PCA, SUB, PSI, EURO","","",""
"73-3686-0151","PCA,SUB,RJ48-8E1-Y-LM","","",""
"73-3676-01","PCA,SUB,PA-IMA-DEBUG BOARD","","",""
"73-3689-01","NI main board assembly (-03raw board,B1)","","",""
"73-3748-01","PCA,SUB,Gibraltar-Network Proc","","",""
"73-3738-01","PCA,SUB,BRAVEHEART, VDM","","",""
"73-3749-02","PCA,Gibraltar-Upper Interface Adapter","","",""
"73-3726-01","ASY,TOP,LR-622-R","","",""
"73-3724-01","PCA,SUB,CONSTELLATION+ WIZARD TESTER","","",""
"73-3718-03","PCA,SUB,CONSTELLATION+,SANTA ANNA TESTER","","",""
"73-3711-01","PCA,SUB,PRONTO,MM,GIGABIT UPLINK","","",""
"73-3706-01","PCA,SUB,PIRANHA,12GIG","","",""
"73-14603-02","PCA,MBRD,Super Colossus MB, 7-Fabric, L-MEMORY,36x10GE,PB FREE","","",""
"73-3748-02","PCA,SUB,Gibraltar-Network Proc","","",""
"73-3756-0154","PCA,SUB,PWR ENTRY MOD SWEE'PEA","INACTIV","PABU","CTG"
"73-3497-01","PCA, QUAD LIM MODULE (SEE -06)","","",""
"73-3493-01","PCA, SC EXTENDER","","",""
"73-3509-01","PCA, OC3 SMF FIRERUNNER DAUGHTERBOARD","","",""
"73-3501-01","PCA, QUAD DS1 FIRERUNNER DAUGHTERBOARD","","",""
"73-3401-01","PCA,SUB,8PORT IMA PAM,BNC-E1,ODIN","","",""
"73-3428-01","PCA,SUB,CISCO660","","",""
"73-3427-0152","PCA, SUB, UXM-E","","",""
"73-3553-01","PCA, DTR RS232 SWITCH, NetSpeed test board","","",""
"73-3553-02","PCA, DTR RS232 SWITCH","","",""
"73-3561-01","PCA, CPE MICROFILTER, EZ-DSL, WALL MOUNT","","",""
"73-3571-01","PCA, ATU-C, DUAL, CAP","","",""
"73-3521-01","PCA, NI OC3 EXTENDER","","",""
"73-3525-01","PCA, LOOPRUNNER POTS BACKPLANE","","",""
"73-3529-01","PCA, LOOPRUNNER DUAL CAP ATU-C","","",""
"73-3541-01","PCA, HSSI/V.35 FIRERUNNER DAUGHTERBOARD","","",""
"73-3629-01","PCA,NI MAIN BOARD ASSY (see 3601-001-11)","","",""
"73-3627-01","PCA,OC3 CYPRESS MODEL PHYS.I/F DAUGHTERBOARD","","",""
"73-3633-01","PCA,GLOBESPAN DIFFERENTIAL TEST PROBE","","",""
"73-3665-01","PCA,CONSTELLATION,ARIES EXTENDER","","",""
"73-3563-01","PCA, CELL DELINEATION FPGA DAUGHTERBOARD","","",""
"73-3573-01","PCA,TEST SWITCH, ADSL","","",""
"73-3601-01","PCA, SYSTEM I/O MODULE","","",""
"73-3605-01","PCA, 5V ADAPTER","","",""
"73-4624-01","PCA,OPTION CD,CS3","","",""
"73-15354-01","PCA,MBRD,VIKING,STARSCREAM,FC,PB FREE","ASR9000","ERBU","CTG"
"73-13227-01","PCA,OTHER,ALARM DISP,ARCTIC II,HFR","CRS","CORBU","CTG"
"73-10697-01","PCA,MDPLN,DC3 MOSPORT 10 SLOT","","",""
"73-5822-03","PCA,Zenith Mgmt Card","MGX","SMBU","MITG"
"73-13189-01","PCA,MBRD,CONST4,PALLADIUM_E,SUP5-2T BASEBOARD","","",""
"73-4487-01","PCA,CONST,ELVIS DC/DC CONV","C6000G","SRGBU","ENGTG"
"73-10056-03","PCA,SUB,10G,12404,FABRIC/ALRM,DP/BITS,GSR","GSR","ERBU","CTG"
"73-3315-09","PCA,SWITCH CARD,COUGAR","","",""
"73-1100-01","PCA,TOPASY,FR,16MB,IGS-BRI/1E1","","",""
"73-1628-01","PCA,SYNERGY,10BASE-T REPEATER MODULE","","",""
"73-15014-01","PCA,OTHER,PAT DEBUG CARD,PANINI","CRS","CORBU","CTG"
"73-7871-07","PCA, OMEGA, HH GIG ETHERNET","ESR","ERBU","CTG"
"73-16162-05","PCA,MBRD,TU862HF,N3K,NeptuneCR","N3000","INSBU","INSTG"
"73-16326-01","PCA, PANDA PHWIC-1T","PANSRG","SRGBU","ENGTG"
"73-16368-01","PCA, PANDA, PVIC3-2FXS/DID","PANSRG","SRGBU","ENGTG"
"73-16365-01","PCA, PANDA, PVIC2-4FXO","PANSRG","SRGBU","ENGTG"
"73-16324-01","PCA,PANDA PHWIC-1CE1T1-PRI","PANSRG","SRGBU","ENGTG"
