x,y,z,pca_id,cluster
1.80318830241247e-09,1.62474367466992e-07,-1.17079239905739e-06,73-0871-02,7
2.14581208994514e-06,-0.000303954643073199,0.000270863532511838,73-0874-01,7
6.06604424822847e-08,4.6879768908618e-07,-1.85184453656405e-06,73-0875-02,7
0.00930645062791434,-0.0795465173209323,0.0169174595457139,73-0876-03E1,7
0.00928895240306572,-0.0792879663152992,0.0171634250364902,73-0876-07E1,7
0.00929415561161648,-0.0793135818962793,0.017132562846194,73-0876-08,7
0.000704081517415125,-0.00947907330073571,0.00233835356760113,73-0877-07E1,7
0.0157623581621245,-0.106313849876997,0.0459306708546978,73-0877-09E1,7
3.13562206797433e-05,-0.00167593713250543,0.00196048207721597,73-0878-02,7
-2.77125653469178e-09,-1.44964316503742e-07,-4.67736161941332e-07,73-0884-01,7
-1.4469448218822e-09,1.1932462696604e-08,6.87131691270522e-08,73-0888-01,7
0.000490984549812671,-0.0162701910480877,-0.000259218598095219,73-0889-03,7
1.0255264756091e-05,-0.001399065963164,0.00161623219798097,73-0890-01,7
0.00179433037642483,-0.0443037922117678,0.00344725150495018,73-0893-07,7
2.35362890498545e-07,8.56468052026586e-07,-1.57342704641134e-06,73-0895-05,7
0.000756365429195223,-0.0292710991393222,0.0355619763238087,73-0901-06E1,7
0.000755841142491519,-0.0292422924555471,0.0355076891860089,73-0901-07,7
0.000844396885377735,-0.0308595863681394,0.0355620652382505,73-0901-08,7
0.000844396885377735,-0.0308595863681394,0.0355620652382505,73-0901-08E1,7
6.36067359028785e-07,-9.58305155483066e-05,0.000152727337103853,73-0906-02,7
0.00192626868571528,-0.0559376233438248,0.0389481819373788,73-0906-05E1,7
0.000591120668668364,-0.00861128424843119,0.00355629207120073,73-0906-06E1,7
0.000490916695001885,-0.0162732968978325,-0.000257639778576356,73-0922-02,7
0.000490879908377854,-0.0162734312899012,-0.000257520160897281,73-0923-02,7
0.0088261511482486,-0.0687943188630411,0.0102235634569967,73-0924-01,7
-2.46520092297127e-09,-1.58924396616327e-09,1.47492240178381e-07,73-0925-04,7
-1.06271203556022e-09,-8.14522154351632e-09,-2.72747106124336e-08,73-0930-01,7
0.000491279145626233,-0.0162714603999609,-0.000263321699876625,73-0944-03,7
0.0186923244410926,-0.211503633826902,0.0121848723230885,73-0946-02,7
0.000492597228407917,-0.0162744777863518,-0.000268548422895446,73-0959-01,7
0.000492763195897035,-0.0162755169529158,-0.000270570224245233,73-0960-01,7
