Year;Quarter;Month;Hour;Category;Sales;Cost
2007;Q2 2007;Jun 2007;00:00;skandinavisk;984.4;548.44
2006;Q3 2006;Aug 2006;17:00;international;4050.410000000001;1965.08
2006;Q3 2006;Jul 2006;10:00;singles;5267.020000000015;3990.7000000000025
2007;Q3 2007;Sep 2007;20:00;klassisk;4217.200000000002;2175.9799999999996
2006;Q4 2006;Oct 2006;09:00;klassisk;149.9;61.62
2007;Q2 2007;May 2007;22:00;klassisk;349.79999999999995;156.2
2008;Q2 2008;Apr 2008;11:00;klassisk;1628.7000000000005;1086.97
2007;Q4 2007;Nov 2007;09:00;klassisk;8634.699999999992;4635.429999999999
2007;Q3 2007;Sep 2007;21:00;klassisk;1598.8000000000002;807.23
2007;Q2 2007;Apr 2007;23:00;klassisk;100.0;48.0
2008;Q1 2008;Jan 2008;21:00;klassisk;309.8;144.41
2008;Q1 2008;Jan 2008;22:00;klassisk;349.5;80.0
2006;Q1 2006;Jan 2006;18:00;games;560.0;0.0
2007;Q1 2007;Feb 2007;22:00;klassisk;209.9;168.6
2006;Q4 2006;Oct 2006;20:00;klassisk;359.59999999999997;189.41
2008;Q1 2008;Jan 2008;23:00;singles;19.9;10.0
2007;Q2 2007;Apr 2007;09:00;singles;548.5699999999996;310.1000000000001
2007;Q3 2007;Sep 2007;19:00;singles;2175.4100000000026;1630.58
2006;Q4 2006;Dec 2006;09:00;singles;1166.9999999999998;657.45
2006;Q3 2006;Sep 2006;09:00;singles;179.72000000000003;152.03
2006;Q2 2006;Jun 2006;21:00;singles;1245.95;512.8499999999999
2006;Q2 2006;Jun 2006;00:00;singles;250.9;229.65
2006;Q3 2006;Sep 2006;17:00;singles;1207.5499999999995;764.6000000000001
2006;Q3 2006;Jul 2006;09:00;singles;1087.7799999999997;790.6699999999998
2007;Q4 2007;Nov 2007;20:00;singles;589.2299999999998;339.45
2007;Q3 2007;Sep 2007;20:00;singles;684.0999999999996;494.73
2008;Q2 2008;Apr 2008;18:00;singles;27.0;70.08
2007;Q1 2007;Mar 2007;22:00;singles;279.01;100.91
2006;Q4 2006;Dec 2006;00:00;merchandise;9397.499999999995;4297.789999999997
2007;Q1 2007;Mar 2007;08:00;games;429.79999999999995;233.33999999999997
2007;Q1 2007;Feb 2007;08:00;games;149.9;72.3
2007;Q2 2007;Jun 2007;01:00;merchandise;263.0;154.44
2007;Q1 2007;Feb 2007;20:00;international;349.8;231.86
2007;Q2 2007;Jun 2007;14:00;international;2398.4200000000005;1172.91
2006;Q2 2006;Jun 2006;20:00;international;269.8;141.69
2006;Q3 2006;Sep 2006;14:00;international;779.5;401.83000000000004
2007;Q1 2007;Mar 2007;21:00;international;169.9;89.55
2007;Q2 2007;Apr 2007;10:00;international;1339.2;601.5999999999999
2007;Q1 2007;Mar 2007;11:00;international;1204.22;493.71
2007;Q1 2007;Feb 2007;11:00;international;519.7;264.28
2006;Q3 2006;Aug 2006;22:00;dance;1808.9000000000003;917.33
2006;Q3 2006;Sep 2006;10:00;singles;430.0399999999998;347.96999999999997
2007;Q4 2007;Dec 2007;20:00;singles;688.2799999999997;416.72
2007;Q3 2007;Sep 2007;08:00;merchandise;227.32;119.2
2007;Q2 2007;May 2007;03:00;games;1649.5;0.0
2007;Q2 2007;Jun 2007;00:00;dance;354.8;271.5
2007;Q4 2007;Oct 2007;22:00;international;339.8;166.7
2007;Q4 2007;Dec 2007;18:00;international;9012.319999999992;4372.039999999998
2007;Q4 2007;Oct 2007;11:00;international;5906.099999999997;2862.109999999999
2006;Q3 2006;Jul 2006;10:00;international;2658.2000000000007;1388.3600000000001
2006;Q3 2006;Aug 2006;11:00;international;2338.6000000000004;984.38
2006;Q3 2006;Jul 2006;20:00;international;609.7;397.82
2006;Q2 2006;Jun 2006;19:00;international;1594.0000000000002;898.67
2006;Q2 2006;Jun 2006;11:00;international;1534.1200000000003;886.52
2006;Q3 2006;Sep 2006;12:00;international;349.8;168.21
2006;Q3 2006;Aug 2006;19:00;international;1966.2200000000005;1010.23
2006;Q3 2006;Aug 2006;22:00;international;599.6;293.11
2007;Q4 2007;Oct 2007;09:00;international;1139.3;539.55
2007;Q1 2007;Feb 2007;10:00;international;329.8;147.22
2006;Q4 2006;Nov 2006;21:00;international;289.8;157.63
2006;Q2 2006;Jun 2006;13:00;international;3237.900000000001;1923.3499999999995
2006;Q4 2006;Dec 2006;09:00;international;249.9;157.63
2006;Q2 2006;Jun 2006;18:00;international;1778.9000000000003;1028.42
2006;Q3 2006;Sep 2006;13:00;singles;790.0099999999999;779.55
2007;Q4 2007;Nov 2007;17:00;singles;2001.580000000002;1292.1100000000004
2006;Q4 2006;Nov 2006;09:00;klassisk;1279.1000000000001;665.15
2007;Q3 2007;Sep 2007;22:00;klassisk;729.4;365.08000000000004
2007;Q4 2007;Oct 2007;22:00;klassisk;799.5;415.56
2007;Q1 2007;Jan 2007;23:00;games;2469.2200000000003;1500.14
